name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Panda Express,"1602 North St, Nacogdoches, TX 75965, United States",pandaexpress.com,+1 936-462-8808,290,3.7,31.5915924,-94.7190863
Mike's Barbeque House,"1622 South St, Nacogdoches, TX 75964, United States",mikesbarbequehouse.net,+1 936-560-1676,429,3.9,31.5915924,-94.7190863
Chick-fil-A,"University Center, Vista Dr Room 109, Nacogdoches, TX 75962, United States",chick-fil-a.com,+1 936-468-5208,92,4.1,31.5915924,-94.7190863
Denny's,"2615 Stallings Dr N, Nacogdoches, TX 75964, United States",locations.dennys.com,+1 936-560-3355,1047,3.9,31.6520921,-94.7508579
King Tacos N More,"4010 South St, Nacogdoches, TX 75964, United States",,+1 936-553-6187,85,4.8,31.5693504,-94.7488238
Wingstop,"4909 North St Ste 206, Nacogdoches, TX 75965, United States",wingstop.com,+1 936-552-7867,392,3.7,31.6505834,-94.7285353
IHOP,"4117 North St, Nacogdoches, TX 75965, United States",restaurants.ihop.com,+1 936-560-5444,1371,4.1,31.6505834,-94.7285353
Dickey's Barbecue Pit,"3505 South St, Nacogdoches, TX 75964, United States",dickeys.com,+1 936-305-4410,407,4.0,31.5725795,-94.7456741
Taqueria Carlos,"107 North St, Nacogdoches, TX 75961, United States",,+1 936-371-0735,11,5.0,31.5725795,-94.7456741
Tacos Al Pastor Dianita,"1724 South St, Nacogdoches, TX 75964, United States",,+1 936-305-5039,297,4.2,31.5725795,-94.7456741
Tomé Express Nac,"5105 North St, Nacogdoches, TX 75965, United States",eattome.com,+1 936-622-8663,31,4.8,31.6525655,-94.7288653
Raising Cane's Chicken Fingers,"1831 North St, Nacogdoches, TX 75965, United States",raisingcanes.com,+1 936-569-1700,971,4.5,31.6525655,-94.7288653
NASCAR Refuel Tenders & Burgers,"4117 North St, Nacogdoches, TX 75965, United States",nascarrefuel.com,+1 888-495-6104,,,31.6525655,-94.7288653
El Lindo Mexico,"1102 SE Stallings Dr, Nacogdoches, TX 75964, United States",,+1 936-559-1212,550,4.0,31.5751234,-94.7320771
Tu Taco,"222 Vista Dr, Nacogdoches, TX 75965, United States",,,2,4.0,31.5751234,-94.7320771
It's Just Wings,"1911 North St, Nacogdoches, TX 75965, United States",locations.itsjustwings.com,+1 469-619-1823,6,1.8,31.5751234,-94.7320771
Damita Jo's,"1513 North St, Nacogdoches, TX 75965, United States",m.facebook.com,+1 936-500-0114,6,3.2,31.5751234,-94.7320771
Burger King,"3819 South St, Nacogdoches, TX 75964, United States",burgerking.com,+1 936-564-3730,518,4.0,31.5751234,-94.7320771
Botanero El Ganso,"2709 Westward Dr, Nacogdoches, TX 75964, United States",facebook.com,+1 936-305-3165,8,4.9,31.652525,-94.7534276
Pemberley's At The Jones House,"141 N Church St, Nacogdoches, TX 75961, United States",,+1 936-559-1487,25,4.5,31.652525,-94.7534276
Taco Bueno,"1821 North St, Nacogdoches, TX 75963, United States",tacobueno.com,+1 936-569-1073,473,4.2,31.652525,-94.7534276
Chicken Express,"1614 N University Dr, Nacogdoches, TX 75961, United States",chickene.com,+1 936-559-0077,621,3.7,31.6171592,-94.7110878
Schlotzsky's,"2608 North St, Nacogdoches, TX 75965, United States",locations.schlotzskys.com,+1 936-564-2867,431,4.1,31.6171592,-94.7110878
D'GORDITAS #2,"709 N University Dr, Nacogdoches, TX 75961, United States",,+1 936-305-3811,25,4.6,31.6171592,-94.7110878
Chipotle Mexican Grill,"2111 North St, Nacogdoches, TX 75965, United States",locations.chipotle.com,+1 936-559-5393,360,4.2,31.6171592,-94.7110878
Taco Riendo,"9115 US-259, Nacogdoches, TX 75965, United States",,+1 936-559-1998,391,4.3,31.6896701,-94.7434138
Ro & Ma's Taco Shop,"1403 South St, Nacogdoches, TX 75964, United States",,+1 936-221-3222,10,4.8,31.5933664,-94.7364783
The Burger Den,"2615 Stallings Dr N, Nacogdoches, TX 75964, United States",theburgerden.com,,1,4.0,31.6521187,-94.7508626
Dragonfly Diner,"13337 TX-7, Nacogdoches, TX 75961, United States",,+1 936-560-3783,5,4.0,31.643264,-94.4807486
Taco Bell,"1605 North St, Nacogdoches, TX 75965, United States",locations.tacobell.com,+1 936-560-2758,913,4.0,31.6171855,-94.7252624
Papa Johns Pizza,"2702 North St, Nacogdoches, TX 75965, United States",locations.papajohns.com,+1 936-559-7272,168,4.0,31.6171855,-94.7252624
Spuddies Baked Potato,"5105 North St, Nacogdoches, TX 75965, United States",,+1 936-205-3020,39,4.4,31.6171855,-94.7252624
Pizza Hut,"1632 South St, Nacogdoches, TX 75964, United States",locations.pizzahut.com,+1 936-564-5400,417,4.2,31.6171855,-94.7252624
Pardon My Cheesesteak,"4117 North St, Nacogdoches, TX 75965, United States",pardonmycheesesteak.com,+1 888-444-0934,,,31.6171855,-94.7252624
Burger King,"2921 North St, Nacogdoches, TX 75965, United States",burgerking.com,+1 936-560-1012,714,4.0,31.6171855,-94.7252624
Pizza Hut,"3102 N University Dr, Nacogdoches, TX 75965, United States",locations.pizzahut.com,+1 936-569-9999,232,4.2,31.6171855,-94.7252624
KFC,"3007 North St, Nacogdoches, TX 75965, United States",locations.kfc.com,+1 936-564-3855,553,3.6,31.6171855,-94.7252624
Freddy's Frozen Custard & Steakburgers,"3720 North St, Nacogdoches, TX 75965, United States",freddys.com,+1 936-622-0270,76,3.9,31.6171855,-94.7252624
McAlister's Deli,"2015 North St, Nacogdoches, TX 75965, United States",locations.mcalistersdeli.com,+1 936-622-0115,90,4.2,31.6171855,-94.7252624
Taco TX,"541 Co Rd 205 lot 63, Nacogdoches, TX 75965, United States",,+1 936-645-6125,,,31.6728449,-94.7293343
Ro&Ma Taqueria,"1930 Douglass Rd, Nacogdoches, TX 75964, United States",,+1 936-305-4031,,,31.6100089,-94.749369
Sonic Drive-In,"3419 South St, Nacogdoches, TX 75964, United States",sonicdrivein.com,+1 936-569-9639,621,3.9,31.6100089,-94.749369
Gorditas y taqueria las selva 1,"1777 County Rd 521, Nacogdoches, TX 75964, United States",,+1 936-244-3891,46,4.1,31.5489457,-94.7347499
Little Caesars Pizza,"1500 North St, Nacogdoches, TX 75965, United States",littlecaesars.com,+1 936-564-5339,281,4.1,31.616154,-94.7247678
Taco Bell,"3805 South St, Nacogdoches, TX 75964, United States",locations.tacobell.com,+1 936-564-3535,383,4.0,31.616154,-94.7247678
Whataburger,"2617 North St, Nacogdoches, TX 75965, United States",locations.whataburger.com,+1 936-564-4988,1246,3.9,31.616154,-94.7247678
Sammy's Cafe,"14084 US-59, Nacogdoches, TX 75965, United States",,,16,4.5,31.7221282,-94.6890925
Subway,"2721 North St, Nacogdoches, TX 75965, United States",restaurants.subway.com,+1 936-559-8910,214,4.1,31.628408,-94.7249397
Subway,"933 N University Dr, Nacogdoches, TX 75961, United States",restaurants.subway.com,+1 936-560-2998,235,3.9,31.628408,-94.7249397
McDonald's,"3120 N University Dr, Nacogdoches, TX 75961, United States",mcdonalds.com,+1 936-560-2641,877,3.7,31.628408,-94.7249397
Champs Chicken,"2430 SE Stallings Dr, Nacogdoches, TX 75961, United States",champschicken.com,+1 936-560-3011,7,3.7,31.628408,-94.7249397
Domino's Pizza,"2403 North St, Nacogdoches, TX 75961, United States",dominos.com,+1 936-569-2121,283,4.0,31.628408,-94.7249397
McDonald's,"1717 North St, Nacogdoches, TX 75961, United States",mcdonalds.com,+1 936-569-0792,1469,3.8,31.628408,-94.7249397
El Coco Loko,"930 South St, Nacogdoches, TX 75964, United States",facebook.com,+1 936-205-4410,137,4.4,31.628408,-94.7249397
The Rusty Spur,"405 E Hospital St, Nacogdoches, TX 75961, United States",,+1 936-305-3068,13,4.5,31.628408,-94.7249397
Whataburger,"10173 US-259, Nacogdoches, TX 75964, United States",locations.whataburger.com,+1 936-585-4065,946,4.0,31.7036286,-94.74983
Subway,"9855 US-259, Nacogdoches, TX 75965, United States",restaurants.subway.com,+1 936-462-1146,71,4.1,31.7036286,-94.74983
The Meltdown,"2615 Stallings Dr N, Nacogdoches, TX 75964, United States",themeltdown.com,+1 936-560-3355,1,5.0,31.7036286,-94.74983
Einstein Bros. Bagels,"1950 North St, Nacogdoches, TX 75965, United States",locations.einsteinbros.com,+1 936-468-1268,14,3.6,31.6205252,-94.7190588
1st City Cafe,"200 N Fredonia St, Nacogdoches, TX 75961, United States",thefredonia.com,+1 936-564-1234,238,4.4,31.6205252,-94.7190588
The Republic Steakhouse,"200 N Fredonia St, Nacogdoches, TX 75961, United States",thefredonia.com,+1 936-564-1234,102,4.6,31.6205252,-94.7190588
Pondi wings,"308 Ponderosa St, Nacogdoches, TX 75964, United States",cyrusramsey.com,+1 936-569-5862,10,5.0,31.5610691,-94.7470821
Revolution Road Pizza Co.,"108 E Pilar St, Nacogdoches, TX 75961, United States",,+1 936-553-4252,28,4.8,31.5610691,-94.7470821
El Patrón Mexican Food Carry Out/Take Out Only,"9102 Farm to Market Rd 2259, Nacogdoches, TX 75961, United States",,+1 936-585-9243,18,4.6,31.5134151,-94.6200858
Smoothie King,"2417 North St, Nacogdoches, TX 75965, United States",locations.smoothieking.com,+1 936-559-5464,84,4.1,31.62553,-94.7247078
Appleby Sand Mercantile,"Nacogdoches, TX 75965, United States",,+1 936-559-5151,34,4.5,31.6679005,-94.6826158
Dunkin',"2801 North St, Nacogdoches, TX 75965, United States",locations.dunkindonuts.com,+1 936-305-5123,344,3.7,31.6288661,-94.7248962
Americas Best Crawfish,"120 Co Rd 810, Nacogdoches, TX 75964, United States",facebook.com,+1 713-851-3136,14,4.4,31.6928044,-94.7446332
La Parrilla QUESABIRRIAS & GRILL,"4506 North St, Nacogdoches, TX 75965, United States",facebook.com,+1 936-250-0193,13,5.0,31.6928044,-94.7446332
Taqueria El 21,"1422 Douglass Rd, Nacogdoches, TX 75964, United States",,+1 936-205-4474,294,4.5,31.6076482,-94.7425976
2 Dadz Crawfish and Shrimp,"2710 Farm to Market Rd 2259, Nacogdoches, TX 75961, United States",,+1 936-615-7097,3,5.0,31.5778236,-94.7043909
The Cottage Restaurant & Bar,"122 N Mound St Suite B, Nacogdoches, TX 75961, United States",thecottagewinebar.com,+1 936-305-3021,13,4.5,31.5778236,-94.7043909
